j,theta,chi2_min,chi2_avg,chi2_sigma,edge_R,wn0_R,n0_R,eps_R,edge_R_sigma,wn0_R_sigma,n0_R_sigma,edge_L,wn0_L,n0_L,eps_L,edge_L_sigma,wn0_L_sigma,n0_L_sigma,wc0,w_cf
20,3.95733957,0.9087938588107235,1.3827234635621206,0.010960682557874097,-0.9985338888574322, -0.4164496119829143,0.5049726088954738,0.9606906594774979,0.0002490688650063486, 0.013504441711036033,0.007216802372616672,-0.0, -0.0,0.0,0.5,0.0, 0.0,0.0,0.0,0.0
21,3.76889483,0.9087938588107235,1.298489187968359,0.012306405294314723,-0.9974922648507627, -0.40999794222080616,0.5063248203747561,0.23850745598480738,0.0003106988365922105, 0.013306036373234924,0.00691710584386651,-0.0, -0.0,0.0,0.5,0.0, 0.0,0.0,0.0,0.0
22,3.58942365,0.9087938588107235,1.3151574730537294,0.014604442486571523,-0.9985974142736331, -0.4123026260511466,0.5058228142120036,0.2885083294050842,0.00016939006215015373, 0.016633580480866134,0.008336375764889095,-0.0, -0.0,0.0,0.5,0.0, 0.0,0.0,0.0,0.0
23,3.41849871,0.9087938588107235,1.1945573206378586,0.0057007533230549485,-0.9987387170876969, -0.43046907979717774,0.4967368993866216,0.5245151696352554,9.017193783035904e-5, 0.014811738603387971,0.007373127995434983,-0.0, -0.0,0.0,0.5,0.0, 0.0,0.0,0.0,0.0
24,3.25571306,0.9087938588107235,1.1940630223291595,0.007331366160802285,-0.9973071544302965, -0.4035186148577101,0.5076219362321494,0.6246815343804821,0.00011912176114196467, 0.018195755913196263,0.009501269129919946,-0.0, -0.0,0.0,0.5,0.0, 0.0,0.0,0.0,0.0
25,3.1006791,0.9087938588107235,1.2059899086593828,0.008339531418282135,-0.9985784439660659, -0.4405787910547204,0.4894536300883458,0.3145644068475699,0.00020971269221581416, 0.019566464379313822,0.010283387163646145,-0.0, -0.0,0.0,0.5,0.0, 0.0,0.0,0.0,0.0
26,2.95302772,0.9087938588107235,1.1964998692692412,0.007544959012538802,-0.9992784478994409, -0.42621027533484046,0.49702580089403525,0.5303353929419495,0.0001919605166753354, 0.018887469814220813,0.00960220368427221,-0.0, -0.0,0.0,0.5,0.0, 0.0,0.0,0.0,0.0
27,2.81240735,0.9087938588107235,1.2618500654481122,0.013871768338344128,-1.0004114442309078, -0.409714162772835,0.5065425028020983,0.9288601273966474,0.00011414374128072164, 0.016173951573405964,0.008273806652978982,-0.0, -0.0,0.0,0.5,0.0, 0.0,0.0,0.0,0.0
28,2.67848319,0.9087938588107235,1.2443136569137987,0.011452265966096123,-0.9981970057317137, -0.4342087365280084,0.4942541735634546,0.44910610486761904,0.00011024595121344305, 0.02089522483709694,0.010984091433108745,-0.0, -0.0,0.0,0.5,0.0, 0.0,0.0,0.0,0.0
29,2.55093637,0.9087938588107235,1.2281744120018785,0.009321144502495732,-0.9985097671462062, -0.42051866745388444,0.5019656661463585,0.8462355809320055,0.00023142608031823155, 0.01815012430333442,0.008938099339614959,-0.0, -0.0,0.0,0.5,0.0, 0.0,0.0,0.0,0.0
30,2.42946321,0.9087938588107235,1.1884363422331916,0.008690401424245698,-0.9973040722999651, -0.45069983847691375,0.4844242768463192,0.9282384957928131,7.426856651174076e-5, 0.01784581593689451,0.009168065773246525,-0.0, -0.0,0.0,0.5,0.0, 0.0,0.0,0.0,0.0
