j,theta,chi2_min,chi2_avg,chi2_sigma,w_edge_R,w_n0_R,n0_R,eps_R,w_edge_R_sigma,w_n0_R_sigma,n0_R_sigma,w_edge_L,w_n0_L,n0_L,eps_L,w_edge_L_sigma,w_n0_L_sigma,n0_L_sigma,w_cont0,w_contf
32,2.20359475,1.123991730833811,1.3751808370157157,0.014903808434176108,-1.0127698225565065, -0.6858250982286712,0.5265292056516637,0.43111481095248283,0.0006186996081549364, 0.030070413900525624,0.029596816418623606,1.459374387336073, 0.5962456960054634,0.5188781319509471,0.814260626297716,0.0013284839628965057, 0.07329472496435029,0.029612842537009906,0.0,0.0
33,2.09866167,1.123991730833811,1.4584359611391913,0.022400219077492574,-1.0103737450909245, -0.6848249538925038,0.5329880110008265,0.4331569735521911,0.0008067115038506763, 0.029815477715476688,0.02839334730809543,1.4588734074245377, 0.6393706506584091,0.5007316258396122,0.973234212782059,0.0019279761851653085, 0.07415665445421515,0.031698044017046914,0.0,0.0
34,1.9987254,1.123991730833811,1.5099126566436418,0.022571102236906965,-1.0064837554883534, -0.7406238836933506,0.4850951623924146,0.27548308391398313,0.0003957147475160273, 0.0264988576062754,0.025875292496155874,1.4748542451365192, 0.6971133232782164,0.47551621334936545,0.7565417509356351,0.001689739072390225, 0.0766874031847956,0.03192608197519746,0.0,0.0
35,1.903548,1.123991730833811,1.3718773550124186,0.012546629102707298,-1.0079861503258336, -0.6395055829585846,0.5660994380412382,0.30482961653617235,0.0004678615896144908, 0.03264699187482465,0.029147076843452534,1.4674310289800163, 0.474224737982709,0.5606001318877484,0.15998496937836043,0.0013997540511651704, 0.07722243037252517,0.03071766151397971,0.0,0.0
36,1.81290285,1.123991730833811,1.3234040620354888,0.007534296307868065,-1.0129975735258572, -0.6634038388229025,0.5459064512264453,0.4944231157017761,0.0007837881124343526, 0.03516670778228171,0.03169749529245065,1.4669963622242954, 0.6742553769578192,0.48656491881532127,0.7096196544395574,0.0018081411706911102, 0.07201680836615407,0.030270457960316136,0.0,0.0
37,1.72657415,1.123991730833811,1.3577243144655824,0.009199650547789812,-1.0094168880606673, -0.7293475887695189,0.4697687035320081,0.7393828941022025,0.0003333566080281667, 0.03543624892758779,0.03617733368278316,1.4684782114635038, 0.5143736373827628,0.5487333334990386,0.31005477208052357,0.0013155933039744009, 0.08557224215631301,0.034235963573527414,0.0,0.0
38,1.64435633,1.123991730833811,1.334765479353625,0.007439722579558369,-1.011532138524166, -0.7376863460182843,0.4806945637844736,0.6500948405323264,0.00043338467685760017, 0.02969490947143922,0.0311716888087885,1.4697722256919008, 0.64259228085468,0.49868815728561405,0.5959533710650691,0.002029717035879943, 0.07925779109377014,0.03328819170318692,0.0,0.0
39,1.56605365,1.123991730833811,1.3277909304501054,0.007045030101538224,-1.0099632415626636, -0.7143892840843509,0.479848972881406,0.30351162701284695,0.0004564402469497173, 0.036397979617179006,0.03601309535885054,1.4601569148664342, 0.4811062287249232,0.5610455811886089,0.0509387113175201,0.0018440127926054894, 0.07969994006731514,0.031526167916779785,0.0,0.0
40,1.49147966,1.123991730833811,1.3426667085380948,0.008752514278253368,-1.003817470054502, -0.6650302828941526,0.5277830125687905,0.7922313875314023,0.0004493507707868433, 0.040161673336070444,0.038003509178698734,1.4605843417725575, 0.631769533722039,0.5043854968048297,0.5421778515375428,0.0013070032051295827, 0.08331927161668493,0.03526019780655182,0.0,0.0
41,1.42045682,1.123991730833811,1.2652372670315968,0.005437472589680455,-1.0130917877104015, -0.7185493868080982,0.48148725033736406,0.09266953531064126,0.0007934003138472406, 0.03671018908113753,0.036290375813285626,1.4659901577076064, 0.6506735337435556,0.4977410860025933,0.5948998127964757,0.0013221074147563242, 0.08595112205221722,0.03530104227150754,0.0,0.0
42,1.35281602,1.123991730833811,1.2781360657870124,0.006727268914192424,-1.0123394963835344, -0.7658378436326142,0.43992053585648394,0.6973613450708339,0.0005701254235262962, 0.035047378911974215,0.033184313455026565,1.4736542261596348, 0.7816135238371277,0.4470745716192394,0.5370837873621932,0.0014040004308255034, 0.07571225571270108,0.03238739826074759,0.0,0.0
