i,ar_pcont1,ar_pcont2,ar_pcont3,ar_ncont1,ar_ncont2,ar_ncont3,∆w_pcont1,∆w_pcont2,∆w_ncont1,∆w_ncont2,ar_ppeak,ar_npeak,∆w_ppeak,∆w_npeak,ar_wAc,ar_wAp,ar_Ap,∆w_Ac,∆w_Ap,∆Ap
70.0,0.4675,0.5078,0.0174,0.4552,0.4918,0.0128,0.14391634,0.20723952,0.0999419,0.11993028,0.0,0.0002,0.0,0.0,0.484,0.0,0.0,0.02324329,0.0,0.0
71.0,0.4548,0.4908,0.0156,0.4529,0.4837,0.0119,0.14391634,0.20723952,0.0999419,0.11993028,0.0,0.0,0.0,0.0,0.4758,0.0,0.0,0.02324329,0.0,0.0
72.0,0.4766,0.4803,0.0149,0.4702,0.4792,0.0114,0.11993028,0.20723952,0.08328492,0.11993028,0.0,0.0,0.0,0.0,0.4695,0.0,0.0,0.02324329,0.0,0.0
73.0,0.4734,0.4713,0.0149,0.4581,0.4609,0.0104,0.11993028,0.20723952,0.08328492,0.11993028,0.0,0.0,0.0,0.0,0.4626,0.0,0.0,0.02324329,0.0,0.0
74.0,0.4668,0.4589,0.014,0.4766,0.4952,0.01,0.11993028,0.20723952,0.0694041,0.0999419,0.0,0.0,0.0,0.0,0.4845,0.0,0.0,0.01936941,0.0,0.0
75.0,0.4664,0.5049,0.015,0.4767,0.4887,0.0106,0.11993028,0.1726996,0.0694041,0.0999419,0.0,0.0,0.0,0.0,0.4755,0.0,0.0,0.01936941,0.0,0.0
76.0,0.4554,0.4885,0.0132,0.466,0.4677,0.0101,0.11993028,0.1726996,0.0694041,0.0999419,0.0,0.0,0.0,0.0,0.4693,0.0,0.0,0.01936941,0.0,0.0
77.0,0.4772,0.4826,0.0134,0.4568,0.4541,0.0099,0.0999419,0.1726996,0.0694041,0.0999419,0.0,0.0,0.0,0.0,0.4594,0.0,0.0,0.01936941,0.0,0.0
78.0,0.4714,0.4679,0.0135,0.4563,0.4906,0.0084,0.0999419,0.1726996,0.0694041,0.08328492,0.0,0.0,0.0,0.0,0.4844,0.0,0.0,0.01614117,0.0,0.0
0.0,0.4803,0.4754,0.0512,0.4625,0.5024,0.0355,0.5157,0.8911,0.3581,0.4297,0.1998,0.2562,0.0,0.0,0.4546,0.0126,0.0258,0.0999419,0.0,0.0007472
