i,ar_pcont1,ar_pcont2,ar_pcont3,ar_ncont1,ar_ncont2,ar_ncont3,∆w_pcont1,∆w_pcont2,∆w_ncont1,∆w_ncont2,ar_ppeak,ar_npeak,∆w_ppeak,∆w_npeak,ar_Ac,ar_Ap,∆Ac,∆Ap
109.0,0.4801,0.4804,0.008,0.4615,0.4881,0.0945,0.0298,0.0554,0.256,0.2756,0.0,0.024,0.0,0.0,0.4914,0.0,0.0,0.0
110.0,0.4745,0.5118,0.0082,0.4825,0.4771,0.0916,0.0298,0.0462,0.2133,0.2756,0.0,0.054,0.0,0.0,0.4756,0.0,0.0,0.0
111.0,0.4638,0.5043,0.0073,0.4726,0.5083,0.0909,0.0298,0.0462,0.2133,0.2297,0.0,0.013,0.0,0.0,0.4605,0.0,0.0,0.0
112.0,0.4558,0.4894,0.0074,0.4658,0.4939,0.0926,0.0298,0.0462,0.2133,0.2297,0.0,0.039,0.0,0.0,0.5062,0.0,0.0,0.0
113.0,0.4792,0.4822,0.0074,0.456,0.4786,0.0944,0.0248,0.0462,0.2133,0.2297,0.0,0.005,0.0,0.0,0.488,0.0,0.0,0.0
114.0,0.471,0.4623,0.0073,0.4782,0.4697,0.0924,0.0248,0.0462,0.1778,0.2297,0.0,0.008,0.0,0.0,0.4723,0.0,0.0,0.0
115.0,0.4615,0.5041,0.0081,0.4721,0.511,0.0919,0.0248,0.0385,0.1778,0.1914,0.0,0.015,0.0,0.0,0.462,0.0,0.0,0.0
116.0,0.4872,0.4871,0.0071,0.4662,0.4957,0.0915,0.0207,0.0385,0.1778,0.1914,0.0,0.0,0.0,0.0,0.5027,0.0,0.0,0.0
117.0,0.4763,0.4734,0.0073,0.456,0.4807,0.093,0.0207,0.0385,0.1778,0.1914,0.0,0.0,0.0,0.0,0.4911,0.0,0.0,0.0
118.0,0.4689,0.5191,0.0073,0.4757,0.4664,0.0908,0.0207,0.0321,0.1481,0.1914,0.0,0.0,0.0,0.0,0.4723,0.0,0.0,0.0
119.0,0.4608,0.5017,0.0063,0.469,0.4952,0.0947,0.0207,0.0321,0.1481,0.1595,0.0,0.0,0.0,0.0,0.4577,0.0,0.0,0.0
120.0,0.4856,0.4871,0.0071,0.4604,0.4847,0.0921,0.0172,0.0321,0.1481,0.1595,0.0,0.0,0.0,0.0,0.5087,0.0,0.0,0.0
121.0,0.4782,0.4656,0.0068,0.4824,0.4772,0.0937,0.0172,0.0321,0.1235,0.1595,0.0,0.0,0.0,0.0,0.4924,0.0,0.0,0.0
122.0,0.4695,0.5183,0.0067,0.4773,0.5084,0.0924,0.0172,0.0267,0.1235,0.1329,0.0,0.0,0.0,0.0,0.4711,0.0,0.0,0.0
