j,theta,chi2_min,chi2_avg,chi2_sigma,edge_R,wn0_R,n0_R,eps_R,edge_R_sigma,wn0_R_sigma,n0_R_sigma,edge_L,wn0_L,n0_L,eps_L,edge_L_sigma,wn0_L_sigma,n0_L_sigma,wc0,w_cf
28,2.67848319,411378.0245865894,412002.65123047197,86.70841518666637,1.12810449790366, 1.784446271655984,0.48783252181469744,0.7372157843166911,4.67533727625953e-5, 0.04221461717235186,0.010911342631474839,-1.0065774919823363, -1.7635346621742045,0.50446736768606,0.6581698118524022,0.0006355226463092157, 0.03179258943281163,0.014891565035122995,0.0,0.0
29,2.55093637,410280.7943701419,410825.3116796796,75.44425061030336,1.1285478873577937, 1.826155540553663,0.4980498646942667,0.9245990109944047,3.3108987725976213e-5, 0.04908937057972576,0.014215858901905814,-0.9981979381857305, -1.7485872488655925,0.4938876995165228,0.6064980088640031,0.000409521769269468, 0.027599535136856604,0.013175589317123251,0.0,0.0
30,2.42946321,409368.89820429485,409823.5828313357,59.84718994752393,1.129010072307128, 1.8547551315890627,0.5065494255266411,0.970371940418514,4.8181215875057696e-5, 0.042673987182024406,0.012929398477042898,-0.9929259885486029, -1.749143797651651,0.49598275580094436,0.13978427940179944,0.0003998387081973967, 0.022291693106263367,0.010983989027901781,0.0,0.0
31,2.31377449,408610.1589031237,408974.2466000183,50.35023259300227,1.129284458846341, 1.7686483021875756,0.48542574965280744,0.4273237279052813,3.8673560414005614e-5, 0.049347056609332356,0.014513490452985535,-0.9869669240535581, -1.786631211387963,0.5062735810118688,0.8653066984025666,0.0003317890558425465, 0.02586199855138523,0.010984784083356734,0.0,0.0
32,2.20359475,407912.1537005994,408258.2263232069,46.62771878837188,1.1296130602296557, 1.864696062518982,0.5040970809901395,0.35829365651401446,4.489405341115144e-5, 0.049314725778052355,0.013228456450450671,-0.9819403406902376, -1.7017967206735876,0.4683181356504593,0.1633977309537532,0.00033842816544216685, 0.021276512528186194,0.011489627526186656,0.0,0.0
33,2.09866167,407230.93657298404,407568.74580250145,44.43860802949766,1.1299366511385192, 1.8806707777102918,0.5143588904134998,0.10319227329864494,4.2033732210011646e-5, 0.040252673801529,0.011638004584559549,-0.9776904837752145, -1.7275276133889612,0.4832073734623707,0.666192942631072,0.00031602091259015777, 0.024561692479071508,0.011589506470714517,0.0,0.0
34,1.9987254,406732.64492093085,406975.61247532524,32.37457397593761,1.1301189247997376, 1.8278679236909845,0.49919061769168505,0.9033891195291084,3.445337814211572e-5, 0.05218673827374508,0.01387051358970554,-0.9723051649562308, -1.7625801427796788,0.48602828481025906,0.7479338409168914,0.0003463079571901697, 0.043350359795903126,0.017502587567298226,0.0,0.0
35,1.903548,406136.5793025353,406438.2102054047,39.64991982050221,1.130255195420027, 1.7733325074540542,0.48587176205949933,0.33714550080501093,2.3926288923126273e-5, 0.03983516210369157,0.010561511242473846,-0.9670565432174982, -1.7560308843048975,0.4966503924461591,0.05183103120634425,0.0002408338796483957, 0.02851392966348197,0.013740362630575223,0.0,0.0
36,1.81290285,405577.8753767522,405844.30681520066,37.94777096418309,1.1305881360784293, 1.8686984854953779,0.5044252250677483,0.8223683564018929,2.844108289848876e-5, 0.05181245413148553,0.012874774615433085,-0.9650511527269472, -1.7680361533735147,0.5005843883661397,0.3120898576008696,0.0001678812554107454, 0.03445195133996532,0.016533359598194554,0.0,0.0
37,1.72657415,405204.27891912614,405398.50133043405,23.613046150712442,1.1307323470100072, 1.8677317578162989,0.516702335477147,0.03412075545454496,3.051937255315871e-5, 0.04905439869608227,0.012939854406829857,-0.9633322194781646, -1.762036616738785,0.49565778425668905,0.3237240166928733,0.00010908066389191213, 0.03387368419743298,0.016648001023762397,0.0,0.0
38,1.64435633,404827.94333991996,404989.0820951101,25.10174607970529,1.1309819804923067, 1.8070556408646947,0.48892208973834456,0.8796544285424364,3.3427067661018305e-5, 0.07404103461408484,0.021582347768015805,-0.9617305024674773, -1.8377917554480885,0.5344160457112295,0.1417233752129535,5.852417572491041e-5, 0.03476004624099796,0.017088423280785536,0.0,0.0
39,1.56605365,404549.54153829586,404702.78748389595,18.573559179460393,1.1310943114332521, 1.8213085917724172,0.49625868521912286,0.9739588936807988,3.387445251579398e-5, 0.04857912326263453,0.015210178423511739,-0.960827495096372, -1.7238251445824488,0.47934160056847314,0.47559489963325524,0.0001430930771579938, 0.04081991415661158,0.01796684531634587,0.0,0.0
40,1.49147966,404321.1842427342,404447.01641179784,14.355188191992958,1.1312165365631281, 1.6964246305062478,0.46540819386663285,0.13389803504544845,3.3720642446753866e-5, 0.05866244417801995,0.015688526060492192,-0.9597780861060079, -1.7639292170876566,0.5026409064906789,0.3948684903696967,0.00010580697018788413, 0.029270565863808197,0.015136339267493382,0.0,0.0
41,1.42045682,404087.1342153878,404198.7189003305,14.681570362705022,1.1313378331725175, 1.7025713676023972,0.47127672814327504,0.964005076171373,3.153977061535493e-5, 0.046366475318353216,0.012924242635943705,-0.9581626742017514, -1.7022466869201334,0.469082216670733,0.3158656814246087,0.00012945251576336388, 0.025386624775393433,0.01237922724441872,0.0,0.0
42,1.35281602,403811.42790522985,403967.28338811506,17.642917098861794,1.1314557700876995, 1.7972477299801768,0.48156447886009374,0.9235359283803488,3.0113689054908897e-5, 0.0748333801506118,0.02127526192928156,-0.9565182858011477, -1.71632571037826,0.4742637606831054,0.25484233598313943,8.99612577555528e-5, 0.03962542080461845,0.018175013088110037,0.0,0.0
43,1.28839621,403513.07827684924,403650.9966751544,18.844676330816593,1.1315971221833045, 1.8840228059113275,0.5013051746733336,0.009617931848073635,3.1768330625970264e-5, 0.07296528054747925,0.017934513201797127,-0.9548886195685811, -1.66055505736164,0.4566818138769729,0.5729932483062572,0.00012739636596654868, 0.032842672954852103,0.016805437272276718,0.0,0.0
44,1.22704401,403256.4387258535,403380.0335685022,17.25645612755871,1.1317273798018683, 1.8837677714855858,0.5226710959360019,0.9001142992088809,2.399319811131237e-5, 0.09120508207137447,0.02092412282514079,-0.9533006949556266, -1.712326286068007,0.4658076389384592,0.8258809197607366,0.00011553167229329696, 0.052705210790777696,0.023275499812825243,0.0,0.0
45,1.16861334,403125.5808768593,403188.56494434096,8.337933976146507,1.1317987912102263, 1.8522127503909402,0.5118159957489161,0.47309718048485366,2.826372008500581e-5, 0.06191313966704338,0.016405304727257906,-0.9516335678829122, -1.7659664405205748,0.4920976463857533,0.4911251086046815,0.00015944362452202695, 0.043546829184686435,0.01956808745092632,0.0,0.0
46,1.11296509,403010.63115654566,403066.5365493468,7.761339389718819,1.1318534068993302, 1.9800642047183388,0.5281688064175053,0.8254397729954084,2.6483242367034713e-5, 0.07987719712425094,0.020556399332776858,-0.9494902315744345, -1.8013843942423318,0.5070461075274926,0.8335961602151392,0.00010178422584219862, 0.035466747327098425,0.015747794541783454,0.0,0.0
47,1.05996675,402910.4618631887,402959.7348548832,6.846932617121447,1.1319263369308783, 1.814742550416426,0.4956905157008828,0.4442864552619766,3.081629383626923e-5, 0.08610172760123426,0.020940026013400514,-0.947606153168388, -1.7822078911407846,0.5153518923403066,0.5606224739034619,0.00011058618914359026, 0.03627950913205681,0.01732859541985506,0.0,0.0
48,1.00949214,402769.11586755846,402847.04018089524,9.363809923405986,1.1319631029879293, 1.9578538502966825,0.5272283837110028,0.46002337474790667,2.6350902866898334e-5, 0.06668862202411001,0.017392303088429113,-0.9465171108724274, -1.7527836029757153,0.4956818014325868,0.19777777763708576,4.264307066304007e-5, 0.03327656752183468,0.01543798153530134,0.0,0.0
49,0.96142109,402613.55937325436,402691.8277678584,9.950062821524817,1.1320675462229315, 1.7155935563823401,0.45761281464468617,0.509815777258793,2.2846783737077266e-5, 0.06575852125956477,0.01847013791129789,-0.9460529633194366, -1.8236087988298688,0.5145050481564312,0.3781688241480748,6.461560798243204e-5, 0.054306430872168604,0.023242550706281284,0.0,0.0
50,0.91563913,402473.374249818,402536.0640915635,9.554161199351665,1.132194261291915, 1.7634338595115342,0.47809488655638266,0.5077908462266657,2.8543036133541686e-5, 0.06365969463741095,0.01661849779969264,-0.9449876191188826, -1.8275793759296346,0.5214662894090744,0.2164274263646988,6.300103160859602e-5, 0.04955015753699043,0.02067527555822776,0.0,0.0
51,0.87203727,402313.9945631153,402404.3857811799,10.887449299343553,1.1321717775768367, 1.8331821169513536,0.48513306031958514,0.7397041577228518,3.085268877029076e-5, 0.08316602681151562,0.0222140271717466,-0.9437905366858012, -1.6644185446307347,0.4520782698104301,0.37659486916063023,0.00012651451885592883, 0.038969742688042625,0.019689245234414378,0.0,0.0
52,0.83051169,402157.0834205544,402220.4038436686,10.465457614375856,1.1322937941464288, 1.8846944190178014,0.5055445265907006,0.9481072992391605,1.6401403053888897e-5, 0.07231130758179559,0.02039623145274147,-0.9423348457323399, -1.781169949324672,0.5045974774452991,0.9208816653202885,6.969746278352466e-5, 0.04556171274871879,0.02152926476521259,0.0,0.0
53,0.79096351,402024.906531193,402096.9655460904,9.287625310485772,1.1323138519179372, 1.8617292473125864,0.5056671310749973,0.01146302240282206,1.9296326656396766e-5, 0.07355493980079948,0.019849584695170817,-0.9414820656140787, -1.796027291540507,0.5063090149885473,0.16519113649534178,1.6368570289319515e-5, 0.03872380951413124,0.018982305992340485,0.0,0.0
54,0.75329858,401863.5460616912,401947.36657025875,10.496949880328259,1.1323961208594215, 1.9451965748081708,0.5335172261114456,0.08151067082946495,2.0095031312665016e-5, 0.06842727794198865,0.018458734471073098,-0.9410571313934012, -1.7527898156645603,0.4974430983002519,0.9042421152173694,3.262221593343319e-5, 0.039368687258061,0.020358408883493703,0.0,0.0
55,0.71742722,401735.626315019,401801.2720281493,8.771281656273555,1.132541143251197, 1.844277974669642,0.5046227931203134,0.9240458309179238,2.3090212294191874e-5, 0.057958735546480164,0.021467226023998424,-0.9406987218818476, -1.766583020298634,0.4928509078563086,0.059683564805542516,2.6735496182041195e-5, 0.03989280924242109,0.01860484158592097,0.0,0.0
56,0.68326402,401614.59168321465,401675.0080831926,8.127144513184836,1.1326289713554034, 1.8681729811114152,0.5148805376179847,0.820470254425774,1.829708480014282e-5, 0.047284321606729185,0.013362605480630937,-0.9403569488772519, -1.786797955262378,0.5034911098938585,0.3690346947658249,3.0996110187388645e-5, 0.04148679566130696,0.01880420142164419,0.0,0.0
57,0.65072764,401517.86322971183,401566.11377241736,6.325732986232437,1.1326507697519663, 1.8565687574379048,0.5058522564949662,0.9072386271686699,1.9548811373645513e-5, 0.05291374528829976,0.015561957160363587,-0.9398980610662159, -1.8142588350695026,0.5235555281018272,0.5185447497833093,1.9443310334128512e-5, 0.04205946647055554,0.01753715975459081,0.0,0.0
58,0.61974061,401411.15861222724,401462.9957300491,6.853146105817171,1.132691846620539, 1.8384769636386458,0.49168749513914517,0.10531728409561458,1.0892652273522594e-5, 0.06747839906653634,0.02041589505631552,-0.9396236891741644, -1.8064074523753753,0.5069736984300501,0.8543912394185986,3.606071861764371e-5, 0.042573704470968074,0.01768713073754306,0.0,0.0
59,0.59022915,401294.4047242501,401353.26668197813,7.78464747591808,1.1327467774625177, 1.9266242487906768,0.5270679892250743,0.40571250202200365,1.5094305300941722e-5, 0.05829051474227304,0.014046950807834687,-0.9391526220181541, -1.8483213542830275,0.5381713170932491,0.8765315889343802,2.116991304626926e-5, 0.04196340965754662,0.01831760577200219,0.0,0.0
60,0.562123,401173.36942804087,401229.0612577662,8.469843685747536,1.132846988056818, 1.7495593983281126,0.4700251612349729,0.345671614881529,1.8736349139822025e-5, 0.056072228336064185,0.014743234881028161,-0.938552466442618, -1.7737195027693076,0.5074341471047192,0.7831271074443118,5.7843845438663266e-5, 0.034991961225938305,0.017029565416343987,0.0,0.0
