i,ar_pcont1,ar_pcont2,ar_pcont3,ar_ncont1,ar_ncont2,ar_ncont3,∆w_pcont1,∆w_pcont2,∆w_ncont1,∆w_ncont2,ar_ppeak,ar_npeak,∆w_ppeak,∆w_npeak,ar_wAc,ar_wAp,ar_Ap,∆w_Ac,∆w_Ap,∆Ap
151.0,0.4759,0.4742,0.0254,0.4736,0.4806,0.0096,0.20007165,0.34572381,0.03877523,0.05583633,0.5016,0.5018,9.453e-5,1.832e-5,0.4669,0.5116,0.4913,0.01869947,1.527e-5,4.559e-5
152.0,0.4699,0.4594,0.0241,0.4705,0.4782,0.0092,0.20007165,0.34572381,0.03877523,0.05583633,0.4894,0.4978,9.453e-5,1.832e-5,0.4644,0.5072,0.4908,0.01869947,1.527e-5,4.559e-5
153.0,0.4661,0.5071,0.0249,0.4666,0.473,0.0091,0.20007165,0.28810318,0.03877523,0.05583633,0.4676,0.4784,9.453e-5,1.832e-5,0.4612,0.4972,0.4689,0.01869947,1.527e-5,4.559e-5
154.0,0.4549,0.4922,0.0228,0.4637,0.4642,0.009,0.20007165,0.28810318,0.03877523,0.05583633,0.5288,0.5116,7.878e-5,1.527e-5,0.4811,0.4994,0.5392,0.01558289,1.527e-5,3.799e-5
155.0,0.4855,0.4949,0.0227,0.46,0.4955,0.0082,0.16672637,0.28810318,0.03877523,0.04653027,0.5032,0.4934,7.878e-5,1.527e-5,0.4792,0.4878,0.5225,0.01558289,1.527e-5,3.799e-5
156.0,0.4822,0.4896,0.0228,0.4563,0.4919,0.0085,0.16672637,0.28810318,0.03877523,0.04653027,0.5106,0.5182,7.878e-5,1.272e-5,0.4768,0.4734,0.5098,0.01558289,1.527e-5,3.799e-5
157.0,0.4771,0.4757,0.0231,0.4567,0.4919,0.0081,0.16672637,0.28810318,0.03877523,0.04653027,0.4998,0.486,7.878e-5,1.527e-5,0.475,0.513,0.4928,0.01558289,1.272e-5,3.799e-5
158.0,0.4778,0.478,0.023,0.4537,0.4804,0.0076,0.16672637,0.28810318,0.03877523,0.04653027,0.4982,0.5086,7.878e-5,1.272e-5,0.4661,0.4944,0.4725,0.01558289,1.272e-5,3.799e-5
159.0,0.47,0.5224,0.0201,0.4718,0.4822,0.0077,0.16672637,0.24008598,0.03231269,0.04653027,0.4836,0.4996,7.878e-5,1.272e-5,0.467,0.4744,0.4595,0.01558289,1.272e-5,3.799e-5
160.0,0.4683,0.5136,0.0212,0.4689,0.4714,0.0077,0.16672637,0.24008598,0.03231269,0.04653027,0.478,0.4798,7.878e-5,1.272e-5,0.4614,0.4842,0.5304,0.01558289,1.272e-5,3.166e-5
161.0,0.4653,0.5114,0.0196,0.4668,0.4674,0.0077,0.16672637,0.24008598,0.03231269,0.04653027,0.5248,0.524,6.565e-5,1.06e-5,0.459,0.5034,0.5083,0.01558289,1.06e-5,3.166e-5
162.0,0.4573,0.494,0.0194,0.4642,0.4672,0.0068,0.16672637,0.24008598,0.03231269,0.04653027,0.511,0.5208,6.565e-5,1.06e-5,0.4841,0.507,0.4901,0.01298574,1.06e-5,3.166e-5
163.0,0.46,0.4988,0.0195,0.4606,0.5042,0.0077,0.16672637,0.24008598,0.03231269,0.03877523,0.4828,0.5052,6.565e-5,1.06e-5,0.4787,0.5066,0.4679,0.01298574,8.84e-6,3.166e-5
164.0,0.4863,0.4948,0.0199,0.4595,0.4948,0.0074,0.13893865,0.24008598,0.03231269,0.03877523,0.486,0.4998,6.565e-5,1.06e-5,0.4783,0.5062,0.5349,0.01298574,8.84e-6,2.638e-5
165.0,0.4826,0.4873,0.0203,0.4559,0.4852,0.0068,0.13893865,0.24008598,0.03231269,0.03877523,0.4792,0.4874,6.565e-5,1.06e-5,0.4722,0.4884,0.5155,0.01298574,8.84e-6,2.638e-5
166.0,0.479,0.4839,0.0188,0.4537,0.4845,0.0067,0.13893865,0.24008598,0.03231269,0.03877523,0.5292,0.5002,5.471e-5,8.84e-6,0.4686,0.4854,0.5009,0.01298574,7.36e-6,2.638e-5
167.0,0.4713,0.4658,0.0181,0.4716,0.4768,0.0067,0.13893865,0.24008598,0.02692724,0.03877523,0.4568,0.4906,6.565e-5,6.14e-6,0.4617,0.471,0.4795,0.01298574,7.36e-6,2.638e-5
168.0,0.4673,0.4609,0.0178,0.4681,0.4745,0.0067,0.13893865,0.24008598,0.02692724,0.03877523,0.4986,0.4864,5.471e-5,2.47e-6,0.4617,0.4526,0.4623,0.01298574,2.96e-6,2.638e-5
169.0,0.4613,0.5013,0.0188,0.4645,0.4696,0.0063,0.13893865,0.20007165,0.02692724,0.03877523,0.5074,0.461,5.471e-5,1.71e-6,0.4824,0.4492,0.5257,0.01082145,1.19e-6,2.198e-5
170.0,0.4566,0.4977,0.0177,0.4641,0.5041,0.0062,0.13893865,0.20007165,0.02692724,0.03231269,0.4734,0.4596,5.471e-5,9.9e-7,0.4793,0.431,0.5036,0.01082145,3.3e-7,2.198e-5
171.0,0.4873,0.4941,0.0175,0.4606,0.499,0.0057,0.1157822,0.20007165,0.02692724,0.03231269,0.4786,0.4346,5.471e-5,2.8e-7,0.4784,0.4174,0.4866,0.01082145,5.0e-8,2.198e-5
172.0,0.4798,0.4775,0.0159,0.4567,0.4959,0.006,0.1157822,0.20007165,0.02692724,0.03231269,0.5112,0.4366,4.559e-5,8.0e-8,0.4724,0.3958,0.4619,0.01082145,1.0e-8,2.198e-5
173.0,0.475,0.4746,0.0171,0.4747,0.4905,0.0062,0.1157822,0.20007165,0.02243937,0.03231269,0.5146,0.4046,4.559e-5,1.0e-8,0.4671,0.4108,0.5262,0.01082145,0.0,1.832e-5
174.0,0.4728,0.4733,0.0163,0.4738,0.4777,0.0054,0.1157822,0.20007165,0.02243937,0.03231269,0.5072,0.4132,4.559e-5,0.0,0.4657,0.3814,0.5001,0.01082145,0.0,1.832e-5
175.0,0.4658,0.4626,0.0155,0.47,0.4769,0.0058,0.1157822,0.20007165,0.02243937,0.03231269,0.5106,0.3892,4.559e-5,0.0,0.4607,0.3944,0.4868,0.01082145,0.0,1.832e-5
176.0,0.4665,0.5155,0.0155,0.4649,0.4677,0.0055,0.1157822,0.16672637,0.02243937,0.03231269,0.4944,0.3872,4.559e-5,0.0,0.4893,0.361,0.5287,0.00901788,0.0,1.527e-5
177.0,0.4632,0.5102,0.016,0.4638,0.464,0.0052,0.1157822,0.16672637,0.02243937,0.03231269,0.5458,0.3758,3.799e-5,0.0,0.4827,0.3554,0.5128,0.00901788,0.0,1.527e-5
178.0,0.4588,0.4998,0.0155,0.46,0.4989,0.0054,0.1157822,0.16672637,0.02243937,0.02692724,0.5214,0.3718,3.799e-5,0.0,0.4792,0.3528,0.4908,0.00901788,0.0,1.527e-5
179.0,0.4816,0.4961,0.0164,0.459,0.4972,0.0052,0.09648517,0.16672637,0.02243937,0.02692724,0.4708,0.3556,4.559e-5,0.0,0.4739,0.3318,0.5349,0.00901788,0.0,1.272e-5
180.0,0.4767,0.4829,0.0145,0.4558,0.4899,0.0056,0.09648517,0.16672637,0.02243937,0.02692724,0.5116,0.3426,3.799e-5,0.0,0.4723,0.2996,0.4475,0.00901788,0.0,1.527e-5
181.0,0.4749,0.477,0.0147,0.4719,0.4858,0.0049,0.09648517,0.16672637,0.01869947,0.02692724,0.497,0.3182,3.799e-5,0.0,0.4693,0.3134,0.5042,0.00901788,0.0,1.272e-5
182.0,0.4699,0.4723,0.0142,0.4703,0.4813,0.0045,0.09648517,0.16672637,0.01869947,0.02692724,0.4934,0.3224,3.799e-5,0.0,0.4646,0.2934,0.4703,0.00901788,0.0,1.272e-5
0.0,0.4677,0.4548,0.0522,0.4657,0.4622,0.0181,0.4978,0.8603,0.0965,0.1389,0.4793,0.4739,0.0002,0.0001,0.0,0.0,0.0,0.04653027,5.471e-5,13.61243162
