i,theta,chi2_min,chi2_avg,edge_p,edge_n,Ap_p,Ap_n,Ac_p,Ac_n
126.0,0.0337,0.6718,0.6879,0.8563,-0.8388,0.0566,0.1934,0.1804,0.5696
127.0,0.0321,0.6685,0.6807,0.8521,-0.8394,0.0566,0.1934,0.1804,0.5696
128.0,0.0306,0.6675,0.6802,0.8539,-0.8377,0.0567,0.1933,0.1803,0.5697
129.0,0.0291,0.6675,0.6863,0.8549,-0.8373,0.0568,0.1932,0.1803,0.5697
130.0,0.0277,0.6642,0.6808,0.8522,-0.839,0.0567,0.1933,0.1803,0.5697
131.0,0.0264,0.6604,0.672,0.855,-0.8387,0.0567,0.1933,0.1803,0.5697
132.0,0.0251,0.6604,0.6758,0.8534,-0.8391,0.0567,0.1933,0.1803,0.5697
133.0,0.0239,0.6604,0.6738,0.8535,-0.8388,0.0567,0.1933,0.1803,0.5697
134.0,0.0228,0.6596,0.6672,0.8541,-0.8384,0.0568,0.1932,0.1802,0.5698
135.0,0.0217,0.6556,0.6688,0.8536,-0.839,0.0568,0.1932,0.1802,0.5698
136.0,0.0207,0.6556,0.6691,0.853,-0.8391,0.0568,0.1932,0.1803,0.5697
137.0,0.0197,0.6556,0.6744,0.8548,-0.837,0.0569,0.1931,0.1801,0.5699
138.0,0.0188,0.6556,0.6669,0.856,-0.8373,0.0569,0.1931,0.1801,0.5699
139.0,0.0179,0.6556,0.6667,0.8545,-0.8367,0.0569,0.1931,0.1801,0.5699
140.0,0.017,0.6535,0.6629,0.8531,-0.835,0.057,0.193,0.18,0.57
141.0,0.0162,0.6535,0.6666,0.8532,-0.8354,0.0569,0.1931,0.1801,0.5699
142.0,0.0154,0.6534,0.6592,0.8549,-0.8347,0.057,0.193,0.18,0.57
143.0,0.0147,0.6534,0.6641,0.853,-0.8352,0.0569,0.1931,0.1801,0.5699
144.0,0.014,0.6534,0.6607,0.8512,-0.8358,0.0569,0.1931,0.1801,0.5699
145.0,0.0133,0.651,0.6587,0.85,-0.8367,0.0569,0.1931,0.1801,0.5699
146.0,0.0127,0.6493,0.6595,0.8514,-0.8369,0.0569,0.1931,0.1801,0.5699
147.0,0.0121,0.6493,0.6572,0.8506,-0.8369,0.0568,0.1932,0.1802,0.5698
148.0,0.0115,0.6483,0.654,0.8531,-0.8378,0.0568,0.1932,0.1802,0.5698
149.0,0.011,0.6466,0.653,0.8543,-0.8372,0.0568,0.1932,0.1802,0.5698
150.0,0.0104,0.6462,0.6518,0.855,-0.8367,0.0569,0.1931,0.1801,0.5699
151.0,0.0099,0.6444,0.6481,0.8537,-0.8369,0.0569,0.1931,0.1801,0.5699
152.0,0.0095,0.6444,0.6503,0.8554,-0.8374,0.0569,0.1931,0.1801,0.5699
153.0,0.009,0.6441,0.6503,0.8545,-0.8385,0.0568,0.1932,0.1801,0.5699
154.0,0.0086,0.6441,0.6503,0.8535,-0.8388,0.0568,0.1932,0.1802,0.5698
155.0,0.0082,0.6441,0.6504,0.855,-0.8397,0.0568,0.1932,0.1802,0.5698
156.0,0.0078,0.6441,0.6483,0.855,-0.8396,0.0568,0.1932,0.1802,0.5698
157.0,0.0074,0.6424,0.6446,0.8526,-0.8398,0.0568,0.1932,0.1802,0.5698
158.0,0.0071,0.6424,0.6466,0.8538,-0.8398,0.0568,0.1932,0.1802,0.5698
159.0,0.0067,0.6424,0.646,0.8531,-0.8398,0.0569,0.1931,0.1801,0.5699
160.0,0.0064,0.6424,0.6472,0.8524,-0.8399,0.0569,0.1931,0.1801,0.5699
161.0,0.0061,0.6424,0.6462,0.8513,-0.84,0.0569,0.1931,0.1801,0.5699
162.0,0.0058,0.6424,0.6454,0.8502,-0.8391,0.0569,0.1931,0.1801,0.5699
163.0,0.0055,0.6416,0.6449,0.8494,-0.8385,0.0569,0.1931,0.1801,0.5699
164.0,0.0053,0.6415,0.6438,0.8505,-0.8384,0.0569,0.1931,0.1801,0.5699
165.0,0.005,0.641,0.6435,0.8499,-0.8387,0.0569,0.1931,0.1801,0.5699
166.0,0.0048,0.6405,0.6434,0.8499,-0.839,0.0569,0.1931,0.1801,0.5699
167.0,0.0046,0.6405,0.6432,0.8492,-0.8392,0.0569,0.1931,0.1801,0.5699
168.0,0.0043,0.6405,0.6428,0.8499,-0.8389,0.0569,0.1931,0.1801,0.5699
169.0,0.0041,0.6392,0.641,0.8499,-0.8389,0.0569,0.1931,0.1801,0.5699
170.0,0.0039,0.6392,0.6407,0.8497,-0.8382,0.057,0.193,0.18,0.57
171.0,0.0037,0.6387,0.6402,0.8496,-0.8382,0.057,0.193,0.18,0.57
172.0,0.0036,0.6387,0.6409,0.8492,-0.8381,0.0569,0.1931,0.18,0.57
173.0,0.0034,0.6383,0.6397,0.85,-0.838,0.0569,0.1931,0.18,0.57
174.0,0.0032,0.6381,0.6393,0.8498,-0.8376,0.057,0.193,0.18,0.57
175.0,0.0031,0.6362,0.6374,0.8496,-0.8374,0.057,0.193,0.1799,0.5701
176.0,0.0029,0.6362,0.6379,0.8498,-0.8369,0.057,0.193,0.1799,0.5701
177.0,0.0028,0.6362,0.6385,0.8498,-0.8366,0.057,0.193,0.1799,0.5701
178.0,0.0027,0.6362,0.6378,0.8492,-0.8361,0.0571,0.1929,0.1799,0.5701
179.0,0.0025,0.6362,0.6375,0.8491,-0.8362,0.0571,0.1929,0.1799,0.5701
180.0,0.0024,0.636,0.6375,0.8497,-0.8363,0.0571,0.1929,0.1799,0.5701
181.0,0.0023,0.636,0.6374,0.8509,-0.8359,0.0571,0.1929,0.1799,0.5701
182.0,0.0022,0.6359,0.6367,0.8498,-0.836,0.0571,0.1929,0.1799,0.5701
