j,theta,chi2_min,chi2_avg,chi2_sigma,edge_R,wn0_R,n0_R,eps_R,edge_R_sigma,wn0_R_sigma,n0_R_sigma,edge_L,wn0_L,n0_L,eps_L,edge_L_sigma,wn0_L_sigma,n0_L_sigma,wc0,w_cf
20,3.95733957,0.7327146800276402,1.306753771596459,0.05399969611287357,1.5757713270260858, 1.698748331891112,0.5034847673314213,0.6371041796392358,0.000543192225502874, 0.00373836860795336,0.008153276811320371,-0.0, -0.0,0.0,0.5,0.0, 0.0,0.0,0.0,0.0
21,3.76889483,0.7327146800276402,1.3319215311911519,0.04378190235973723,1.5758819109020823, 1.7024822187689952,0.5093649741885393,0.08634363062066353,0.0005111468031156486, 0.004100680705107477,0.00873042569686484,-0.0, -0.0,0.0,0.5,0.0, 0.0,0.0,0.0,0.0
22,3.58942365,0.7327146800276402,1.3245195825816587,0.023834910768819013,1.5799709574409955, 1.705290648899124,0.5168001173394072,0.8296237876608236,0.0003808666329270055, 0.004083015495198428,0.00961070797244372,-0.0, -0.0,0.0,0.5,0.0, 0.0,0.0,0.0,0.0
23,3.41849871,0.7327146800276402,1.3265879054636662,0.024354274174737678,1.5759206213934518, 1.69437016662039,0.4977355481637554,0.18620930671059047,0.0005684513110075078, 0.0038188741150075645,0.009527697561256808,-0.0, -0.0,0.0,0.5,0.0, 0.0,0.0,0.0,0.0
24,3.25571306,0.7327146800276402,1.277781115247374,0.017149412624705318,1.5741449344150442, 1.6941697746606867,0.49287564306727605,0.5753565372063616,0.00042651201653017766, 0.004334316251846227,0.010450734172022708,-0.0, -0.0,0.0,0.5,0.0, 0.0,0.0,0.0,0.0
25,3.1006791,0.7327146800276402,1.1728056014209607,0.02331961972232808,1.5671205599502023, 1.700190361494759,0.509516514897207,0.6532428349718382,0.0006736708630891138, 0.00503656596717081,0.01189013008584411,-0.0, -0.0,0.0,0.5,0.0, 0.0,0.0,0.0,0.0
26,2.95302772,0.7327146800276402,1.331168465552778,0.03636872809356194,1.5733140073212324, 1.6874575949820247,0.4761494429896425,0.19982399351518304,0.00037552564040072787, 0.0038266402059402528,0.008731567322363359,-0.0, -0.0,0.0,0.5,0.0, 0.0,0.0,0.0,0.0
27,2.81240735,0.7327146800276402,1.2368210213536341,0.03094266490555042,1.5743448262324937, 1.688931731146834,0.4786166409404681,0.6883249384955105,0.0004073637816418041, 0.0048332194757982885,0.010965900073781525,-0.0, -0.0,0.0,0.5,0.0, 0.0,0.0,0.0,0.0
28,2.67848319,0.7327146800276402,1.3156374641820359,0.030533110228817713,1.5811425995815434, 1.6985521409275215,0.5045944056394134,0.255092552074732,0.0007735873238251144, 0.005801635498279317,0.01297981923777343,-0.0, -0.0,0.0,0.5,0.0, 0.0,0.0,0.0,0.0
29,2.55093637,0.7327146800276402,1.2926533885022269,0.014272771068108312,1.5854488987728519, 1.6954295452427075,0.5019589432699807,0.2797481544993742,0.0004917420431521601, 0.004715308402709701,0.010898565326279525,-0.0, -0.0,0.0,0.5,0.0, 0.0,0.0,0.0,0.0
