j,ar_cont,∆w_cont,ar_cont_amp,ar_edge_s,∆w_edge,ar_edge_m,n_clust,ar_edge_amp
72,NaN,NaN,0.0,0.4910000000000001,0.0003788391881137953,0.4954545454545454,4.532467532467533,0.5237596139345951
73,NaN,NaN,0.0,0.4842500000000001,0.0004176844105034986,0.4837662337662338,4.402597402597403,0.5060446240584061
74,NaN,NaN,0.0,0.50725,0.00037651850798863065,0.4993506493506493,4.311688311688312,0.5947366054474553
75,NaN,NaN,0.0,0.49275,0.00037595015275503703,0.4946753246753247,4.233766233766234,0.5632615253445438
76,NaN,NaN,0.0,0.4885,0.0003918366759630319,0.5001298701298703,4.285714285714286,0.4636564356495347
77,NaN,NaN,0.0,0.4847499999999999,0.0003913720712290194,0.48246753246753254,4.194805194805195,0.34624944475035596
78,NaN,NaN,0.0,0.48562500000000003,0.0003945728056887994,0.4871428571428571,4.025974025974026,0.6138416244585951
79,NaN,NaN,0.0,0.479375,0.000384445841455604,0.47441558441558446,4.285714285714286,0.6144414947486154
80,NaN,NaN,0.0,0.500625,0.0003856328761174005,0.4663636363636364,4.077922077922078,0.47594952295152565
81,NaN,NaN,0.0,0.5082499999999999,0.0003547063410767361,0.48636363636363633,4.181818181818182,0.5649545435365947
82,NaN,NaN,0.0,0.4807499999999999,0.00034271045390245396,0.5154545454545454,4.077922077922078,0.42575448425646445
83,NaN,NaN,0.0,0.4875,0.000361212452862763,0.4705194805194805,3.896103896103896,0.6148475260444769
84,NaN,NaN,0.0,0.48812500000000003,0.00035572617027032356,0.514025974025974,4.090909090909091,0.5650454530465747
85,NaN,NaN,0.0,0.47825000000000006,0.0003501562582627057,0.52,4.0,0.40496640575063425
86,NaN,NaN,0.0,0.5042500000000001,0.0004026795504626653,0.4724675324675325,4.038961038961039,0.34494559444656486
87,NaN,NaN,0.0,0.480375,0.00036498327563986145,0.46272727272727276,4.025974025974026,0.5337476344485051
88,NaN,NaN,0.0,0.5112499999999999,0.0003821398344459813,0.46571428571428564,3.896103896103896,0.4556505044365939
89,NaN,NaN,0.0,0.505375,0.00036304596796557856,0.47376623376623384,3.7012987012987013,0.4639455664443251
90,NaN,NaN,0.0,0.49187499999999995,0.0003528875592812764,0.47311688311688305,3.935064935064935,0.5150446151545944
91,NaN,NaN,0.0,0.4898749999999999,0.000324376720677381,0.470909090909091,3.8701298701298703,0.5544466242426044
92,NaN,NaN,0.0,0.485375,0.0003318504360125119,0.48324675324675326,3.7012987012987013,0.48524444563355523
93,NaN,NaN,0.0,0.49499999999999994,0.0003595145238138867,0.4732467532467532,3.779220779220779,0.4356573949523945
94,NaN,NaN,0.0,0.49712500000000004,0.00040336035495196584,0.4874025974025974,3.792207792207792,0.5644484057494641
95,NaN,NaN,0.0,0.49675,0.0003467454068582892,0.47480519480519484,3.5584415584415585,0.44584847405540456
96,NaN,NaN,0.0,0.474125,0.0003272311895653484,0.45428571428571424,3.792207792207792,0.41534739465359544
97,NaN,NaN,0.0,0.4884999999999999,0.00034002674671274806,0.47584415584415585,3.4935064935064934,0.5454464745494831
98,NaN,NaN,0.0,0.49499999999999994,0.0003187729029101011,0.44597402597402613,3.5064935064935066,0.5329624045483756
99,NaN,NaN,0.0,0.48962499999999987,0.00035215202915953405,0.4667532467532467,3.2337662337662336,0.3760634146485142
100,NaN,NaN,0.0,0.488125,0.0002974289278334953,0.47467532467532464,3.4415584415584415,0.3861544648514652
101,NaN,NaN,0.0,0.4836250000000001,0.00032191942695819655,0.4714285714285714,3.4675324675324677,0.39504762495253454
102,NaN,NaN,0.0,0.49524999999999986,0.0003151062303566874,0.4672727272727271,3.3766233766233764,0.5744425943624052
103,NaN,NaN,0.0,0.49987499999999996,0.00028921463013100856,0.438051948051948,3.2987012987012987,0.415733554245556
104,NaN,NaN,0.0,0.4835,0.00029693403234942755,0.4632467532467533,3.2987012987012987,0.5264474653534355
105,NaN,NaN,0.0,0.4860000000000001,0.0003008652678335757,0.4806493506493508,3.272727272727273,0.4749604152365539
106,NaN,NaN,0.0,0.48575000000000007,0.000289548155914362,0.4955844155844155,3.142857142857143,0.4649474848524743
107,NaN,NaN,0.0,0.48187499999999994,0.0002920477089842348,0.45610389610389623,3.1298701298701297,0.6144384557574942
108,NaN,NaN,0.0,0.4948750000000001,0.0003019165590024631,0.4649350649350649,3.220779220779221,0.45564452424745555
109,NaN,NaN,0.0,0.49762499999999993,0.0002853609438707305,0.47454545454545455,3.1818181818181817,0.5253454752503252
110,NaN,NaN,0.0,0.49024999999999996,0.00029366342302596663,0.46922077922077915,3.090909090909091,0.44524845535247487
111,NaN,NaN,0.0,0.487375,0.00026997503788424483,0.4955844155844155,2.948051948051948,0.5439455553445162
112,NaN,NaN,0.0,0.495375,0.00025738694033117075,0.47831168831168835,3.038961038961039,0.4255534355473658
113,NaN,NaN,0.0,0.4871250000000001,0.0002451228375371219,0.4785714285714286,2.935064935064935,0.5237475741485269
114,NaN,NaN,0.0,0.4918750000000001,0.0002585494965803294,0.4874025974025975,2.909090909090909,0.5767395353494459
115,NaN,NaN,0.0,0.48724999999999996,0.0002679950205361036,0.4718181818181819,2.8181818181818183,0.39504955425356414
116,NaN,NaN,0.0,0.4972500000000001,0.00028313354194283184,0.4594805194805195,2.792207792207792,0.5852424645595342
117,NaN,NaN,0.0,0.4950000000000001,0.0002583015844946041,0.4790909090909091,2.7532467532467533,0.5854544446484661
118,NaN,NaN,0.0,0.503375,0.00023683805403775467,0.5051948051948052,2.792207792207792,0.43615242484557415
119,NaN,NaN,0.0,0.512,0.0003245540151151246,0.4668831168831169,2.7142857142857144,0.474554495550385
120,NaN,NaN,0.0,0.509375,0.00030004952219917435,0.4901298701298701,2.688311688311688,0.5239395743564165
121,NaN,NaN,0.0,0.50775,0.00029637984073119293,0.4874025974025974,2.844155844155844,0.47464934554847515
122,NaN,NaN,0.0,0.4968749999999999,0.00024189102839903718,0.4916883116883118,2.7532467532467533,0.5949474650515035
123,NaN,NaN,0.0,0.49225,0.0002291314550078555,0.5128571428571429,2.7532467532467533,0.5450494459504059
124,NaN,NaN,0.0,0.4888750000000003,0.0002157381869195246,0.515064935064935,2.7012987012987013,0.41464846455845544
125,NaN,NaN,0.0,0.48262499999999997,0.0002243556294435819,0.528961038961039,2.6623376623376624,0.5039554541555039
126,NaN,NaN,0.0,0.49625,0.0002511021286153992,0.5145454545454545,2.792207792207792,0.46495951445940537
127,NaN,NaN,0.0,0.48250000000000004,0.00024425234367111065,0.5158441558441559,2.8701298701298703,0.534645494549415
128,NaN,NaN,0.0,0.4924999999999999,0.00023545909313854146,0.5106493506493507,2.7662337662337664,0.525853344847474
129,NaN,NaN,0.0,0.49812499999999993,0.00020133522191403196,0.5335064935064935,2.675324675324675,0.38574659444842524
130,NaN,NaN,0.0,0.514375,0.00021907473738546607,0.4997402597402598,2.688311688311688,0.35564643594640555
131,NaN,NaN,0.0,0.50025,0.00019569394491772836,0.4944155844155844,2.6233766233766236,0.4954445644485051
132,NaN,NaN,0.0,0.49212500000000003,0.000197204324185387,0.5297402597402597,2.5194805194805197,0.4852554347614044
133,NaN,NaN,0.0,0.49225000000000013,0.0001941983800848555,0.5109090909090909,2.6623376623376624,0.47474749594247373
134,NaN,NaN,0.0,0.48987500000000006,0.00019652804303469515,0.5124675324675325,2.4935064935064934,0.4752465449544447
135,NaN,NaN,0.0,0.511125,0.00018119086479109238,0.49090909090909096,2.3506493506493507,0.4837565252295943
136,NaN,NaN,0.0,0.47787499999999994,0.00019126053478647333,0.544025974025974,2.5844155844155843,0.4636613760543956
137,NaN,NaN,0.0,0.48450000000000004,0.00018206689263988485,0.5198701298701298,2.4675324675324677,0.5941445948415638
138,NaN,NaN,0.0,0.4943749999999999,0.00018411036809636477,0.5010389610389611,2.4155844155844157,0.5359414753415064
139,NaN,NaN,0.0,0.4915000000000001,0.00018681059328720808,0.5042857142857142,2.6233766233766236,0.5844516752406254
140,NaN,NaN,0.0,0.48999999999999994,0.00015480903106358936,0.5255844155844156,2.3636363636363638,0.5541554158424633
141,NaN,NaN,0.0,0.49712499999999976,0.00016763906006338143,0.49675324675324667,2.3506493506493507,0.5156433746614653
142,NaN,NaN,0.0,0.48875,0.0001541501333376846,0.4916883116883118,2.3636363636363638,0.4936633648475153
143,NaN,NaN,0.0,0.49112500000000014,0.0001583492894300491,0.49961038961038967,2.220779220779221,0.35485853604450396
144,NaN,NaN,0.0,0.49887500000000007,0.00018063474487781377,0.49077922077922065,2.272727272727273,0.4663545047324661
145,NaN,NaN,0.0,0.500125,0.0001682118328378715,0.48441558441558447,2.220779220779221,0.6643365745495253
146,NaN,NaN,0.0,0.4982500000000001,0.00018313035911381617,0.5227272727272727,2.4025974025974026,0.4057484852435948
147,NaN,NaN,0.0,0.49499999999999994,0.00017134465370014589,0.5028571428571429,2.220779220779221,0.3457513952704349
148,NaN,NaN,0.0,0.48749999999999993,0.00014022676416894497,0.484935064935065,2.103896103896104,0.5650465046494054
149,NaN,NaN,0.0,0.49499999999999994,0.0001373827857127496,0.4837662337662338,2.1818181818181817,0.5549545053376251
150,NaN,NaN,0.0,0.48737499999999995,0.00016061903264139005,0.4783116883116882,2.1298701298701297,0.4348476239494056
151,NaN,NaN,0.0,0.50175,0.0001425307981472614,0.5051948051948052,2.220779220779221,0.605154524354525
