j,ar_cont_s,∆w_cont_s,ar_cont_amp_sw,ar_cont_amp,ar_edge_s,∆w_edge,ar_edge_m,n_clust,ar_edge_amp
77,NaN,NaN,0.0,0.0,0.4755000000000001,0.00021172476200512973,0.5098701298701298,2.5324675324675323,0.0
78,NaN,NaN,0.0,0.0,0.48075,0.00021585568041996377,0.4729870129870129,2.4805194805194803,0.0
1,NaN,NaN,0.0,0.0,0.4807725694444446,0.0012465310766230642,0.4905753968253969,10.662337662337663,0.0
2,NaN,NaN,0.0,0.0,0.49281818181818177,0.001012257400145449,0.48897284533648167,10.428571428571429,0.0
3,NaN,NaN,0.0,0.0,0.48574144486692017,0.0012630894395311311,0.511925337020394,10.155844155844155,0.0
4,NaN,NaN,0.0,0.0,0.48585,0.0009556928132864014,0.5160000000000001,10.376623376623376,0.0
5,NaN,NaN,0.0,0.0,0.4778886554621849,0.0008959450560898419,0.5023463931026957,10.12987012987013,0.0
6,NaN,NaN,0.0,0.0,0.494388888888889,0.0011687400258323813,0.483059163059163,9.753246753246753,0.0
7,NaN,NaN,0.0,0.0,0.49254694835680757,0.0012078925965313663,0.49368940918236703,9.441558441558442,0.0
8,NaN,NaN,0.0,0.0,0.488125,0.0011045332679872713,0.4987662337662338,9.246753246753247,0.0
9,NaN,NaN,0.0,0.0,0.48218085106382996,0.0009802952499367503,0.5050428295109147,9.441558441558442,0.0
10,NaN,NaN,0.0,0.0,0.49457142857142866,0.0010006885046605232,0.5084972170686456,8.896103896103897,0.0
11,NaN,NaN,0.0,0.0,0.48420245398773004,0.0010039091913616087,0.47972273125647374,9.03896103896104,0.0
12,NaN,NaN,0.0,0.0,0.4965833333333333,0.0009482585249153411,0.4983549783549782,9.051948051948052,0.0
13,NaN,NaN,0.0,0.0,0.49981884057971,0.0008132138553306517,0.48437794089968,8.662337662337663,0.0
14,NaN,NaN,0.0,0.0,0.4841999999999998,0.0008095284625047539,0.4837402597402598,8.272727272727273,0.0
15,NaN,NaN,0.0,0.0,0.4803097345132743,0.0008809077718905181,0.4862659464429375,8.571428571428571,0.0
16,NaN,NaN,0.0,0.0,0.48324999999999985,0.0006693587563508763,0.49571428571428566,8.25974025974026,0.0
17,NaN,NaN,0.0,0.0,0.4883522727272728,0.0008949155152004798,0.4871605667060212,8.311688311688311,0.0
18,NaN,NaN,0.0,0.0,0.4924999999999999,0.0008310670848606051,0.47497835497835483,8.272727272727273,0.0
